INFO  2018-11-12 08:39:41,981 DatabaseManager - 3.- llinatges
INFO  2018-11-12 08:39:41,981 DatabaseManager - 4.- email
INFO  2018-11-12 08:39:41,981 DatabaseManager - 5.- nif
INFO  2018-11-12 08:39:41,996 DatabaseManager - 6.- idiomaid
INFO  2018-11-12 08:39:41,996 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,040 Panel_1_SelectDB -  TABLA [ dib_fitxer]
INFO  2018-11-12 08:39:44,040 DatabaseManager - Primary KEY [fitxerid] = dib_fitxer_pk
INFO  2018-11-12 08:39:44,056 DatabaseManager - UNIQUES = dib_fitxer_pk => fitxerid
INFO  2018-11-12 08:39:44,071 DatabaseManager - INDEX = dib_fitxer_pk_i => fitxerid
INFO  2018-11-12 08:39:44,071 DatabaseManager - --- Camps --
INFO  2018-11-12 08:39:44,071 DatabaseManager - 0.- fitxerid
INFO  2018-11-12 08:39:44,071 DatabaseManager - 1.- descripcio
INFO  2018-11-12 08:39:44,071 DatabaseManager - 2.- mime
INFO  2018-11-12 08:39:44,071 DatabaseManager - 3.- nom
INFO  2018-11-12 08:39:44,087 DatabaseManager - 4.- tamany
INFO  2018-11-12 08:39:44,087 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,087 Panel_1_SelectDB -  TABLA [ dib_idioma]
INFO  2018-11-12 08:39:44,102 DatabaseManager - Primary KEY [idiomaid] = dib_idioma_pk
INFO  2018-11-12 08:39:44,102 DatabaseManager - ====[dib_persona_idioma_fk] >>>> ExportedKeys FOREIGN KEY[idiomaid] -> dib_usuaripersona[idiomaid]
INFO  2018-11-12 08:39:44,118 DatabaseManager - UNIQUES = dib_idioma_pk => idiomaid
INFO  2018-11-12 08:39:44,134 DatabaseManager - INDEX = dib_idioma_pk_i => idiomaid
INFO  2018-11-12 08:39:44,134 DatabaseManager - --- Camps --
INFO  2018-11-12 08:39:44,134 DatabaseManager - 0.- idiomaid
INFO  2018-11-12 08:39:44,134 DatabaseManager - 1.- nom
INFO  2018-11-12 08:39:44,134 DatabaseManager - 2.- suportat
INFO  2018-11-12 08:39:44,134 DatabaseManager - 3.- ordre
INFO  2018-11-12 08:39:44,149 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,149 Panel_1_SelectDB -  TABLA [ dib_traduccio]
INFO  2018-11-12 08:39:44,149 DatabaseManager - Primary KEY [traduccioid] = dib_traduccio_pk
INFO  2018-11-12 08:39:44,165 DatabaseManager - ====[dib_traducmap_traduccio_fk] >>>> ExportedKeys FOREIGN KEY[traduccioid] -> dib_traducciomap[traducciomapid]
INFO  2018-11-12 08:39:44,180 DatabaseManager - UNIQUES = dib_traduccio_pk => traduccioid
INFO  2018-11-12 08:39:44,180 DatabaseManager - INDEX = dib_traduccio_pk_i => traduccioid
INFO  2018-11-12 08:39:44,196 DatabaseManager - --- Camps --
INFO  2018-11-12 08:39:44,196 DatabaseManager - 0.- traduccioid
INFO  2018-11-12 08:39:44,196 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,196 Panel_1_SelectDB -  TABLA [ dib_traducciomap]
INFO  2018-11-12 08:39:44,196 DatabaseManager - Primary KEY [traducciomapid] = dib_traducmap_pk
INFO  2018-11-12 08:39:44,196 DatabaseManager - Primary KEY [idiomaid] = dib_traducmap_pk
INFO  2018-11-12 08:39:44,227 DatabaseManager - ====[dib_traducmap_traduccio_fk] <<<< ImportedKeys FOREIGN KEY[traducciomapid] -> dib_traduccio[traduccioid]
INFO  2018-11-12 08:39:44,227 DatabaseManager - UNIQUES = dib_traducmap_pk => traducciomapid
INFO  2018-11-12 08:39:44,227 DatabaseManager - UNIQUES = dib_traducmap_pk => idiomaid
INFO  2018-11-12 08:39:44,243 DatabaseManager - INDEX = dib_traducciomap_idiomaid_fk_i => idiomaid
INFO  2018-11-12 08:39:44,243 DatabaseManager - INDEX = dib_traducciomap_pk_i => traducciomapid
INFO  2018-11-12 08:39:44,243 DatabaseManager - --- Camps --
INFO  2018-11-12 08:39:44,243 DatabaseManager - 0.- traducciomapid
INFO  2018-11-12 08:39:44,243 DatabaseManager - 1.- idiomaid
INFO  2018-11-12 08:39:44,258 DatabaseManager - 2.- valor
INFO  2018-11-12 08:39:44,258 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,258 Panel_1_SelectDB -  TABLA [ dib_usuariaplicacio]
INFO  2018-11-12 08:39:44,258 DatabaseManager - Primary KEY [usuariaplicacioid] = dib_usuariaplicacio_pk
INFO  2018-11-12 08:39:44,290 DatabaseManager - UNIQUES = dib_usuariaplicacio_pk => usuariaplicacioid
INFO  2018-11-12 08:39:44,290 DatabaseManager - UNIQUES = dib_usuariaplicacio_uk => username
INFO  2018-11-12 08:39:44,305 DatabaseManager - --- Camps --
INFO  2018-11-12 08:39:44,305 DatabaseManager - 0.- usuariaplicacioid
INFO  2018-11-12 08:39:44,305 DatabaseManager - 1.- username
INFO  2018-11-12 08:39:44,305 DatabaseManager - 2.- contrasenya
INFO  2018-11-12 08:39:44,305 DatabaseManager - 3.- emailadmin
INFO  2018-11-12 08:39:44,305 DatabaseManager - 4.- descripcio
INFO  2018-11-12 08:39:44,321 DatabaseManager - 5.- actiu
INFO  2018-11-12 08:39:44,321 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,321 Panel_1_SelectDB -  TABLA [ dib_usuaripersona]
INFO  2018-11-12 08:39:44,321 DatabaseManager - Primary KEY [usuaripersonaid] = dib_usuaripersona_pk
INFO  2018-11-12 08:39:44,352 DatabaseManager - ====[dib_persona_idioma_fk] <<<< ImportedKeys FOREIGN KEY[idiomaid] -> dib_idioma[idiomaid]
INFO  2018-11-12 08:39:44,352 DatabaseManager - UNIQUES = dib_persona_nif_uk => nif
INFO  2018-11-12 08:39:44,352 DatabaseManager - UNIQUES = dib_persona_username_uk => username
INFO  2018-11-12 08:39:44,352 DatabaseManager - UNIQUES = dib_usuaripersona_pk => usuaripersonaid
INFO  2018-11-12 08:39:44,368 DatabaseManager - --- Camps --
INFO  2018-11-12 08:39:44,368 DatabaseManager - 0.- usuaripersonaid
INFO  2018-11-12 08:39:44,368 DatabaseManager - 1.- username
INFO  2018-11-12 08:39:44,368 DatabaseManager - 2.- nom
INFO  2018-11-12 08:39:44,383 DatabaseManager - 3.- llinatges
INFO  2018-11-12 08:39:44,383 DatabaseManager - 4.- email
INFO  2018-11-12 08:39:44,383 DatabaseManager - 5.- nif
INFO  2018-11-12 08:39:44,383 DatabaseManager - 6.- idiomaid
INFO  2018-11-12 08:39:44,383 DatabaseManager - ------------
INFO  2018-11-12 08:39:44,399 Panel_2_TableFields -  generateTable.isSelected(): true
INFO  2018-11-12 08:39:44,399 Panel_2_TableFields -  Valor actual: true
INFO  2018-11-12 08:39:44,446 RebApp - INIT BUTTON STATUS: false
INFO  2018-11-12 08:40:31,729 Panel_2_TableFields -  ---------- EDIT TAULA ------
INFO  2018-11-12 08:40:57,947 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:41:31,268 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:41:41,440 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:41:49,739 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:41:58,132 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:49:36,496 Panel_2_TableFields -  ---------- EDIT TAULA ------
INFO  2018-11-12 08:50:08,835 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:50:30,519 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:50:42,858 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:50:43,404 Panel_2_TableFields -  generateTable.isSelected(): true
INFO  2018-11-12 08:50:43,404 Panel_2_TableFields -  Valor actual: true
INFO  2018-11-12 08:50:43,420 Panel_2_TableFields -  generateTable.isSelected(): true
INFO  2018-11-12 08:50:43,420 Panel_2_TableFields -  Valor actual: true
INFO  2018-11-12 08:51:10,720 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:51:20,563 Panel_2_TableFields -  generateTable.isSelected(): true
INFO  2018-11-12 08:51:20,563 Panel_2_TableFields -  Valor actual: true
INFO  2018-11-12 08:51:20,641 Panel_2_TableFields -  generateTable.isSelected(): true
INFO  2018-11-12 08:51:20,641 Panel_2_TableFields -  Valor actual: true
INFO  2018-11-12 08:52:07,302 Panel_2_TableFields -  ---------- EDIT TAULA ------
INFO  2018-11-12 08:52:16,319 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:53:01,485 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:53:41,187 Panel_2_TableFields -  ---------- EDIT TAULA ------
INFO  2018-11-12 08:53:47,365 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:53:52,996 Panel_2_TableFields -  ---------- EDIT CAMP ------
INFO  2018-11-12 08:54:47,414 Panel_2_TableFields -  ---------- EDIT TAULA ------
INFO  2018-11-12 08:55:25,805 Panel_2_TableFields -  ---------- EDIT CAMP ------
